reviewr_name,reviewr_url,store_id,store_name,store_address,store_genre,store_tellnum,store_closedday,store_homepage,store_dinner_price_range,store_lunch_price_range,store_score
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,1,札幌市場めし　まるさん亭,北海道札幌市中央区北12条西20丁目1-2 マルサン三上商店内,"海鮮丼、寿司、魚介料理・海鮮料理
",-,水曜日（札幌中央卸売市場に合わせて休業）,,-,"￥2,000～￥2,999",3.56
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,2,きのとや 東苗穂工場直売店,北海道札幌市東区東苗穂5条3丁目7-36 ,"ケーキ
",-,無休（1/1のみ休み）,http://www.kinotoya.com/,～￥999,～￥999,3.17
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,3,ラーメンの味龍,北海道札幌市東区東苗穂7条3-6-3 ,"ラーメン
",-,不定休（冠婚葬祭のぞき無休）年末年始,,～￥999,～￥999,3.41
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,4,定食屋 六宝亭,北海道札幌市北区北22条西4丁目1-17 ,"定食・食堂、かつ丼・かつ重、カレーライス
",-,日曜　第2土曜日第4土曜日,,～￥999,～￥999,3.43
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,5,TAKE OUT HOUSE COLOMBO,北海道札幌市中央区南19条西7-3-23 杉本ビル 1F,"カレーライス
",-,土曜日、日曜日、祝日,,-,～￥999,3.06
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,6,にくそば処 花のれん,北海道札幌市中央区南1条西11 コンチネンタルビル B1F,"そば
",-,土曜・日曜・祝日,,-,～￥999,3.11
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,7,釜めし めぐとわ,北海道札幌市中央区南24条西15-1-11 ,"釜飯
",-,水曜日,,"￥2,000～￥2,999","￥1,000～￥1,999",3.51
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,8,スパイスカレー ハラッピ,北海道札幌市中央区南1条西13-317-2 三誠ビル 1F,"カレー（その他）
",-,水曜日,,-,"￥1,000～￥1,999",3.23
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,9,パレ・ミニョン,北海道札幌市西区発寒12条3-9-10 ,"ケーキ、アイスクリーム
",-,毎週火曜日,https://www.palais-mignon.jp/,-,～￥999,3.32
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,10,マゼリ,北海道札幌市西区発寒12条3-4-13 あずみビル 1F,"インドカレー、スープカレー、ネパール料理
",-,,,-,"￥1,000～￥1,999",3.14
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,11,スパイスモンスター 西11丁目店,北海道札幌市中央区南1条西11-327-17 丸五トーアビル 2F,"カレーライス
",-,無休(年末年始のみ休み),,"￥1,000～￥1,999",～￥999,3.29
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,12,串夢鳥 琴似店,北海道札幌市西区琴似2条2丁目2-24 琴星ビル 1F,"居酒屋
",-,水曜日,,"￥2,000～￥2,999",-,3.21
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,13,蕎麦 アラカルトつたや,北海道札幌市西区発寒10条4-9-6 ,"そば、日本酒バー
",-,月曜～木曜日,,-,～￥999,3.46
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,14,銀座文明堂 札幌丸井今井店,北海道札幌市中央区南一条西2丁目 丸井今井札幌本店 大通館 B2F,"和菓子
",-,無休（但し札幌丸井今井百貨店の営業日に準ずる）,https://www.bunmeido.co.jp/,"￥2,000～￥2,999","￥2,000～￥2,999",3.01
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,15,THAT COFFEE STAND,北海道札幌市中央区南3条西7-6-3 狸小路7丁目,"コーヒー専門店
",-,不定休,,～￥999,～￥999,3.05
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,16,七輪焼肉 安安 札幌南3条店,北海道札幌市中央区南三条西1-2-4 ,"焼肉、ホルモン
",-,無休※元旦のみ定休日,http://www.fuji-tatsu.co.jp/html/shop/hokkaido.html,"￥2,000～￥2,999","￥1,000～￥1,999",3.06
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,17,ばりきや 札幌駅前店,北海道札幌市北区北6条西5丁目 札幌駅高架下,"ラーメン、つけ麺
",-,,http://www.bariki-ya.com/index.html,～￥999,～￥999,3.49
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,18,居酒屋 にほんいち 別宴邸,北海道札幌市北区北8西4 ホテルマイステイズ札幌駅北口 1F,"魚介料理・海鮮料理、居酒屋、焼鳥
",011-708-8800,日曜日、年末年始（12月31日～1月5日）　　　　　　　　　　　　　　　　　　　　　　　★電話でのお問い合わせは14時～が繋がりやすくなっております。営業時間外はWEB予約が便利です,http://nihonichi-hokkaido.com/,"￥4,000～￥4,999","￥1,000～￥1,999",3.28
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,19,エッグモンスターズ,北海道札幌市中央区大通西10-4 南大通ビル B1F,"オムライス
",-,日曜、祝日,,"￥1,000～￥1,999",～￥999,3.05
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,20,しゃぶ葉 札幌元町店,北海道札幌市北二十四条東18-1-30 ,"しゃぶしゃぶ
",-,,https://www.skylark.co.jp/syabuyo/index.html,-,"￥1,000～￥1,999",3.07
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,21,天然温泉 森のゆ,北海道北広島市西の里511-1 ,"その他
",-,不定休,,～￥999,～￥999,3.16
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,22,くっちゃうぞ,北海道札幌市厚別区厚別西四条4-8 ,"回転寿司、寿司、魚介料理・海鮮料理
",011-895-6222,不定休,,"￥1,000～￥1,999",～￥999,3.48
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,23,ニュー花園,北海道札幌市中央区南二条西6 ,"中華料理、居酒屋、バー
",011-215-1716,年末年始（1/1～1/4）,https://andseis-inc.com/,"￥3,000～￥3,999",-,3.40
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,24,MJ BOOK CAFE　ｂｙ Mi Cafeto,北海道札幌市中央区南1条西1-8-2 丸井今井南館 2Ｆ,"カフェ
",-,丸井今井休館日に準ずる,,～￥999,～￥999,3.27
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,25,リストランテ メロ,北海道札幌市中央区大通西3-7 北洋大通センター大通ビッセ 4F,"イタリアン、洋食、ダイニングバー
",011-200-2300,　なし,http://ristorante-mero.com/,"￥2,000～￥2,999","￥1,000～￥1,999",3.42
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,26,CoCo壱番屋 北海道大学前店,北海道札幌市北区北8条西4-22-1 パシフィック北大前 1F,"カレーライス、スープカレー
",-,無休,https://www.ichibanya.co.jp/,～￥999,～￥999,3.03
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,27,和顔別館 OKARU,北海道札幌市北区北9条西3 タカノビル B1F,"居酒屋、焼鳥、魚介料理・海鮮料理
",-,年末年始（31日から4日まで）,,"￥3,000～￥3,999",-,3.31
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,28,中国料理孝華,北海道札幌市中央区南6条西2丁目 札幌プリンス６.２ビル　２F,"中華料理、担々麺、餃子
",011-513-0062,年末年始12/31～1/4までお休み頂きます。尚12月３０日の営業はディナーコース料理のみ予約受付２０時閉店とさせて頂きます。,http://www.kouka-net.com/,"￥5,000～￥5,999",～￥999,3.50
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,29,炭火焼肉 羅山 琴似店,北海道札幌市西区琴似1条4-4-27 NYビル 1F,"焼肉、ホルモン、冷麺
",-,年中無休、不定休,http://www.razan1990.com/,"￥4,000～￥4,999","￥1,000～￥1,999",3.33
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,30,あいねくらいねなはとむじく,北海道札幌市西区琴似二条5-2-8 琴似パレスハイツ　１Ｆ,"ハンバーグ、ステーキ、オムライス
",011-644-2685,月曜日　（木・金曜日はランチのみ営業）,,"￥1,000～￥1,999","￥1,000～￥1,999",3.46
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,31,菊邑,北海道札幌市中央区南九条西14-2-22 ,"そば、天ぷら
",-,毎週火曜日・祝日の月曜日,,-,～￥999,3.31
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,32,東京ラスク 大丸札幌店,北海道札幌市中央区北五条西4丁目7 大丸札幌店 B1F,"洋菓子（その他）
",-,大丸札幌店に準ずる,http://www.tokyorusk.co.jp,-,～￥999,3.03
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,33,Rojiura Curry SAMURAI. 札幌駅アピア,北海道札幌市中央区北5条西4 札幌駅APIA WEST ジョイフルウォーク B1F,"スープカレー
",-,アピアに準ずる,https://samurai-curry.com,"￥1,000～￥1,999","￥1,000～￥1,999",3.12
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,34,蕎麦屋酒 しの崎,北海道札幌市中央区南一条西9-1-2 第２北海ビル B1F,"そば
",-,月曜、木曜、日曜、祝日,,"￥3,000～￥3,999",～￥999,3.57
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,35,sal coffee,北海道札幌市中央区南3条西9-999-16 ,"カフェ
",-,年末年始,,"￥1,000～￥1,999",～￥999,3.30
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,36,十字屋珈琲店 狸COMICHI店,北海道札幌市中央区南2条西2-4-1 狸COMICHI  2F,"カフェ
",-,,,～￥999,～￥999,3.17
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,37,CRAFT PUB BRIAN BREW,北海道札幌市中央区南2条西2-5 狸COMICHI 1F,"イタリアン、ビアバー
",-,,,"￥1,000～￥1,999","￥1,000～￥1,999",3.35
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,38,麺荘 しらかば,北海道札幌市中央区南2条西2-5 狸COMICHI 2F,"ラーメン
",-,年中無休,,"￥1,000～￥1,999","￥1,000～￥1,999",3.21
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,39,ゴトウくんせい,北海道上川郡剣淵町西町6-2 ,"デリカテッセン
",-,火曜日・年末年始,http://gotoh-chicken.jp/,"￥1,000～￥1,999","￥1,000～￥1,999",3.51
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,40,道の駅 絵本の里けんぶち,北海道上川郡剣淵町東町2420 ,"その他
",-,年中無休,http://www.hokkaido-michinoeki.jp/data/93/each.htm,～￥999,～￥999,3.23
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,41,木多郎 岩見沢店,北海道岩見沢市6条東14丁目6-4 ,"スープカレー
",-,火曜日,http://www.kitaro-curry.com/,"￥1,000～￥1,999","￥1,000～￥1,999",3.37
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,42,ブラジル,北海道名寄市西一条南6 ,"ケーキ、パン・サンドイッチ（その他）、洋菓子（その他）
",-,火曜日,http://hokkaido-brazil.wixsite.com/brazil,-,～￥999,3.49
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,43,道の駅 もち米の里☆なよろ 特産品販売コーナー,北海道名寄市風連町西町334-1 ,"その他、大福
",-,元旦,http://www.hokkaido-michinoeki.jp/data/102/each.htm,-,～￥999,3.25
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,44,そば切り もり川 イオン名寄店,北海道名寄市徳田80-1 イオン名寄SC 1F,"そば、寿司
",-,不定休(イオン名寄SCに準ずる),,"￥1,000～￥1,999",-,3.07
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,45,道の駅 羊のまち 侍・しべつ,北海道士別市大通東5-440-23 ,"その他
",-,売店(年末年始)、レストラン(水曜日、年末年始),,-,～￥999,3.08
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,46,しいたけ飯店,北海道樺戸郡浦臼町字浦臼内174-40 ,"中華料理、ラーメン、餃子
",-,水曜日,https://takikawa.mypl.net/shop/00000343807/,-,"￥1,000～￥1,999",3.38
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,47,西郷酒盛 豊水すすきの店,北海道札幌市中央区南4条西1-6-1 B1F,"居酒屋
",-,年中無休,,"￥3,000～￥3,999",-,3.19
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,48,ランチョ・エルパソ 狸COMICHI店,北海道札幌市中央区南2条西2-5 狸COMICHI 2F,"バル・バール
",-,水曜日,,"￥1,000～￥1,999","￥1,000～￥1,999",3.50
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,49,若狭屋老舗,北海道寿都郡寿都町大磯町86 ,"和菓子
",-,不定休,,-,"￥1,000～￥1,999",3.10
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,50,すっつしらす会館,北海道寿都郡寿都町字歌棄町美谷206-1 ,"魚介料理・海鮮料理
",-,４月～6月：無休　７月～３月：水曜日,http://yoshino-yagura.jp/shirasu/index.php,-,"￥1,000～￥1,999",3.40
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,51,函館大沼プリンスホテル,北海道亀田郡七飯町西大沼温泉 ,"その他
",-,,http://www.princehotels.co.jp/hakodate/,"￥10,000～￥14,999","￥1,000～￥1,999",3.20
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,52,ラッキーピエロ 森町赤井川店,北海道茅部郡森町赤井川125 ,"ハンバーガー、かつ丼・かつ重、カレーライス
",-,年中無休,http://www.luckypierrot.jp,～￥999,～￥999,3.42
B'z@love.am(1092),https://tabelog.com/rvwr/000216524/,53,沼の家,北海道亀田郡七飯町字大沼町145 ,"和菓子、甘味処
",-,無休,http://www.hakonavi.ne.jp/oonuma/numanoya.html,-,～￥999,3.59
