store_name,reviewr_name,reviewr_url,zenkoku_num,hakodate_num,rate
四季海鮮 旬花,002795634,https://tabelog.com/rvwr/002795634/,130,9,0.0692307692307692
四季海鮮 旬花,000324403,https://tabelog.com/rvwr/000324403/,3262,32,0.0098099325567136
四季海鮮 旬花,003102351,https://tabelog.com/rvwr/003102351/,818,3,0.0036674816625916
四季海鮮 旬花,000203086,https://tabelog.com/rvwr/000203086/,669,1,0.0014947683109118
四季海鮮 旬花,fuekitty,https://tabelog.com/rvwr/fuekitty/,2255,48,0.0212860310421286
四季海鮮 旬花,000468031,https://tabelog.com/rvwr/000468031/,174,71,0.4080459770114942
四季海鮮 旬花,000414938,https://tabelog.com/rvwr/000414938/,214,181,0.8457943925233645
四季海鮮 旬花,001126957,https://tabelog.com/rvwr/001126957/,34,33,0.9705882352941176
四季海鮮 旬花,000408801,https://tabelog.com/rvwr/000408801/,4192,814,0.1941793893129771
四季海鮮 旬花,000077035,https://tabelog.com/rvwr/000077035/,91,5,0.0549450549450549
四季海鮮 旬花,002849044,https://tabelog.com/rvwr/002849044/,653,35,0.0535987748851454
四季海鮮 旬花,001196582,https://tabelog.com/rvwr/001196582/,2674,510,0.1907255048616305
四季海鮮 旬花,001689355,https://tabelog.com/rvwr/001689355/,816,107,0.1311274509803921
四季海鮮 旬花,000867547,https://tabelog.com/rvwr/000867547/,250,10,0.04
四季海鮮 旬花,00018119,https://tabelog.com/rvwr/00018119/,63,58,0.9206349206349206
四季海鮮 旬花,morille,https://tabelog.com/rvwr/morille/,80,6,0.075
四季海鮮 旬花,009568079,https://tabelog.com/rvwr/009568079/,123,5,0.040650406504065
四季海鮮 旬花,00030513,https://tabelog.com/rvwr/00030513/,466,1,0.0021459227467811
四季海鮮 旬花,005736668,https://tabelog.com/rvwr/005736668/,1448,1137,0.7852209944751382
四季海鮮 旬花,016512518,https://tabelog.com/rvwr/016512518/,21,1,0.0476190476190476
四季海鮮 旬花,003801197,https://tabelog.com/rvwr/003801197/,381,86,0.2257217847769028
四季海鮮 旬花,002553704,https://tabelog.com/rvwr/002553704/,1822,516,0.283205268935236
四季海鮮 旬花,004509109,https://tabelog.com/rvwr/004509109/,511,431,0.8434442270058709
四季海鮮 旬花,partyroomjp,https://tabelog.com/rvwr/partyroomjp/,2895,67,0.0231433506044905
四季海鮮 旬花,006716869,https://tabelog.com/rvwr/006716869/,513,148,0.2884990253411306
四季海鮮 旬花,006639431,https://tabelog.com/rvwr/006639431/,454,167,0.36784140969163
四季海鮮 旬花,001961695,https://tabelog.com/rvwr/001961695/,150,62,0.4133333333333333
四季海鮮 旬花,003873736,https://tabelog.com/rvwr/003873736/,360,8,0.0222222222222222
四季海鮮 旬花,001420653,https://tabelog.com/rvwr/001420653/,521,86,0.165067178502879
四季海鮮 旬花,001308449,https://tabelog.com/rvwr/001308449/,66,45,0.6818181818181818
四季海鮮 旬花,000198458,https://tabelog.com/rvwr/000198458/,280,1,0.0035714285714285
四季海鮮 旬花,001765727,https://tabelog.com/rvwr/001765727/,65,8,0.123076923076923
四季海鮮 旬花,000481804,https://tabelog.com/rvwr/000481804/,13,10,0.7692307692307693
四季海鮮 旬花,000149533,https://tabelog.com/rvwr/000149533/,5,5,1.0
四季海鮮 旬花,005196074,https://tabelog.com/rvwr/005196074/,46,2,0.0434782608695652
