store_name,reviewr_name,reviewr_url,zenkoku_num,hakodate_num,rate
ミスタードーナツ 函館赤松街道ショップ,1196582,https://tabelog.com/rvwr/001196582/,2674,510,0.1907255048616305
ミスタードーナツ 函館赤松街道ショップ,2227483,https://tabelog.com/rvwr/002227483/,471,367,0.7791932059447984
ミスタードーナツ 函館赤松街道ショップ,2118595,https://tabelog.com/rvwr/002118595/,2863,157,0.0548375829549423
ミスタードーナツ 函館赤松街道ショップ,100385,https://tabelog.com/rvwr/000100385/,321,19,0.0591900311526479
ミスタードーナツ 函館赤松街道ショップ,707852,https://tabelog.com/rvwr/000707852/,919,187,0.2034820457018498
ミスタードーナツ 函館赤松街道ショップ,470871,https://tabelog.com/rvwr/000470871/,2058,455,0.2210884353741496
ミスタードーナツ 函館赤松街道ショップ,1362733,https://tabelog.com/rvwr/001362733/,318,161,0.5062893081761006
ミスタードーナツ 函館赤松街道ショップ,414938,https://tabelog.com/rvwr/000414938/,214,181,0.8457943925233645
ミスタードーナツ 函館赤松街道ショップ,3528153,https://tabelog.com/rvwr/003528153/,614,30,0.0488599348534201
ミスタードーナツ 函館赤松街道ショップ,3318140,https://tabelog.com/rvwr/003318140/,903,133,0.1472868217054263
ミスタードーナツ 函館赤松街道ショップ,714206,https://tabelog.com/rvwr/000714206/,7,4,0.5714285714285714
ミスタードーナツ 函館赤松街道ショップ,11407366,https://tabelog.com/rvwr/011407366/,7,7,1.0
