reviewr_name,reviewr_id,reviewr_url,zenkoku_num,hakodate_num,rate
Mikiho(18),futurewalker,https://tabelog.com/rvwr/futurewalker/,390,7,0.017948717948717947
リック999(3),000738091,https://tabelog.com/rvwr/000738091/,35,4,0.11428571428571428
Tomaton(192),tomaton,https://tabelog.com/rvwr/tomaton/,559,4,0.007155635062611807
aksto(7),003357840,https://tabelog.com/rvwr/003357840/,192,2,0.010416666666666666
あきけん@千葉柏(1),002860132,https://tabelog.com/rvwr/002860132/,127,1,0.007874015748031496
teppe293(0),007808449,https://tabelog.com/rvwr/007808449/,84,4,0.047619047619047616
bacchus91(0),00023928,https://tabelog.com/rvwr/00023928/,443,8,0.01805869074492099
nathan0991(0),007149261,https://tabelog.com/rvwr/007149261/,121,3,0.024793388429752067
津田三蔵(19),000527548,https://tabelog.com/rvwr/000527548/,470,4,0.00851063829787234
太り過ぎ(5),003317177,https://tabelog.com/rvwr/003317177/,776,3,0.003865979381443299
まちゃママ5938(0),004881713,https://tabelog.com/rvwr/004881713/,90,1,0.011111111111111112
Matsutomu(9),003597474,https://tabelog.com/rvwr/003597474/,827,3,0.0036275695284159614
notfound0425(5),001619830,https://tabelog.com/rvwr/001619830/,1088,15,0.013786764705882353
chamaemon(0),004763042,https://tabelog.com/rvwr/004763042/,210,6,0.02857142857142857
sifa(2),001770028,https://tabelog.com/rvwr/001770028/,48,5,0.10416666666666667
yorokobinoaji(29),004276080,https://tabelog.com/rvwr/004276080/,174,2,0.011494252873563218
いけちゃん1027(2),001157256,https://tabelog.com/rvwr/001157256/,176,13,0.07386363636363637
mameta319(3),000722881,https://tabelog.com/rvwr/000722881/,485,1,0.002061855670103093
右京左京48(12),001213565,https://tabelog.com/rvwr/001213565/,485,1,0.002061855670103093
k.244(0),003667205,https://tabelog.com/rvwr/003667205/,12,2,0.16666666666666666
ちゃんころちん(2),002208123,https://tabelog.com/rvwr/002208123/,214,191,0.8925233644859814
オネスティ(60),000181045,https://tabelog.com/rvwr/000181045/,158,19,0.12025316455696203
ELII(18),000598641,https://tabelog.com/rvwr/000598641/,334,10,0.029940119760479042
しめこのうさぎ(1016),000079034,https://tabelog.com/rvwr/000079034/,2398,3,0.0012510425354462051
らう゛(1),000755233,https://tabelog.com/rvwr/000755233/,17,2,0.11764705882352941
stylophora(2),000696176,https://tabelog.com/rvwr/000696176/,17,10,0.5882352941176471
タコ大根(2),002433100,https://tabelog.com/rvwr/002433100/,9,9,1.0
keipapa(673),000220202,https://tabelog.com/rvwr/000220202/,854,8,0.00936768149882904
松山 千春(0),000597515,https://tabelog.com/rvwr/000597515/,8,2,0.25
tanitomo713(15),tanitomo713,https://tabelog.com/rvwr/tanitomo713/,112,1,0.008928571428571428
marin-1986(4),010973069,https://tabelog.com/rvwr/010973069/,43,27,0.627906976744186
しぇったん(0),004214687,https://tabelog.com/rvwr/004214687/,17,4,0.23529411764705882
kudokiyo(0),kudokiyo,https://tabelog.com/rvwr/kudokiyo/,180,6,0.03333333333333333
r100.(6),007030862,https://tabelog.com/rvwr/007030862/,28,1,0.03571428571428571
パイパー野郎(2),000507081,https://tabelog.com/rvwr/000507081/,74,7,0.0945945945945946
