reviewr_name,reviewr_id,reviewr_url,zenkoku_num,hakodate_num,rate
B'z@love.am(1085),000216524,https://tabelog.com/rvwr/000216524/,4504,32,0.007104795737122558
shippaidarake(2),007344490,https://tabelog.com/rvwr/007344490/,334,138,0.41317365269461076
ぴんすけ＠(31),000697620,https://tabelog.com/rvwr/000697620/,304,63,0.20723684210526316
びーたむじか(10),vitamusica,https://tabelog.com/rvwr/vitamusica/,45,2,0.044444444444444446
ヨシモンカモ(3),002009559,https://tabelog.com/rvwr/002009559/,20,17,0.85
みぃーちゃん。(605),002227483,https://tabelog.com/rvwr/002227483/,471,367,0.7791932059447984
超暇人(1110),000146229,https://tabelog.com/rvwr/000146229/,1402,54,0.03851640513552068
onikuma(2177),000408801,https://tabelog.com/rvwr/000408801/,4192,814,0.1941793893129771
かつろ(360),000359606,https://tabelog.com/rvwr/000359606/,2372,143,0.0602866779089376
メタゾウ(6),000210066,https://tabelog.com/rvwr/000210066/,35,18,0.5142857142857142
しらす757(2301),005736668,https://tabelog.com/rvwr/005736668/,1448,1137,0.7852209944751382
ぐるめ倶楽部(26),001248042,https://tabelog.com/rvwr/001248042/,126,8,0.06349206349206349
きんきん0801(25),000541394,https://tabelog.com/rvwr/000541394/,1001,74,0.07392607392607392
shige!relax(6),000983014,https://tabelog.com/rvwr/000983014/,89,58,0.651685393258427
NANAPOO(17),000342373,https://tabelog.com/rvwr/000342373/,73,51,0.6986301369863014
la vie douce(2),000088828,https://tabelog.com/rvwr/000088828/,63,22,0.3492063492063492
グアルデリコ(411),guaruderico,https://tabelog.com/rvwr/guaruderico/,1552,3,0.0019329896907216496
サロン札幌グルメ(79),011221575,https://tabelog.com/rvwr/011221575/,432,166,0.38425925925925924
koakoa0613(16),005843901,https://tabelog.com/rvwr/005843901/,73,45,0.6164383561643836
materazzi23(23),003431373,https://tabelog.com/rvwr/003431373/,1888,20,0.01059322033898305
昼からビール(16),hirukarabeer,https://tabelog.com/rvwr/hirukarabeer/,1946,45,0.023124357656731757
kitaguninoAMU(2),006195914,https://tabelog.com/rvwr/006195914/,33,20,0.6060606060606061
chakola(6),001961695,https://tabelog.com/rvwr/001961695/,150,62,0.41333333333333333
hisa19670320(0),002037375,https://tabelog.com/rvwr/002037375/,30206,78,0.0025822684234920214
kabo-cha(1606),001196582,https://tabelog.com/rvwr/001196582/,2674,510,0.1907255048616305
家紋チケット(4),001828531,https://tabelog.com/rvwr/001828531/,151,1,0.006622516556291391
かしわそば(90),35435596,https://tabelog.com/rvwr/35435596/,643,13,0.02021772939346812
はっすぃはっすぃ(243),002080248,https://tabelog.com/rvwr/002080248/,257,187,0.7276264591439688
hal-hal(0),004031704,https://tabelog.com/rvwr/004031704/,32,17,0.53125
ザトシ(3),002146883,https://tabelog.com/rvwr/002146883/,200,167,0.835
カツファイティング大盛り(178),000314730,https://tabelog.com/rvwr/000314730/,277,9,0.032490974729241874
となりのとど(0),ceoing,https://tabelog.com/rvwr/ceoing/,54,25,0.46296296296296297
コタちゃん(81),000165520,https://tabelog.com/rvwr/000165520/,575,8,0.01391304347826087
FAT!FAT!FAT!(1),000427072,https://tabelog.com/rvwr/000427072/,16,1,0.0625
can164jp(50),003712278,https://tabelog.com/rvwr/003712278/,116,4,0.034482758620689655
知麻呂(34),011936910,https://tabelog.com/rvwr/011936910/,128,94,0.734375
